id,name_key,role,rarity,species,max_hp,move_speed,attack_range,base_damage,attack_cooldown_sec,skill_id,shop_cost,unlock_stage,tags,design_notes
unit_elemental_stone,unit_elemental_stone_name,summon,rare,elemental,310,2.0,1.2,20,1.7,skill_stone_skin,4,stage_field_01,tank|shield|slow,元素坦克，移动慢但护盾厚
unit_elemental_storm,unit_elemental_storm_name,summon,epic,elemental,210,3.4,4.8,26,1.2,skill_chain_storm,6,stage_field_01,ranged|chain|burst,史诗元素，链式闪电打多目标
unit_clockwork_gearling,unit_clockwork_gearling_name,summon,common,clockwork,150,2.8,1.3,14,1.2,skill_gear_punch,2,stage_tutorial_01,sturdy|melee,机械低费，属性均衡且比普通单位更耐打
unit_clockwork_cannon_walker,unit_clockwork_cannon_walker_name,summon,rare,clockwork,180,2.3,5.4,32,1.9,skill_cannon_blast,5,stage_field_01,ranged|high_attack|slow,机械炮台，跑得慢但射程远伤害高
unit_clockwork_repair_core,unit_clockwork_repair_core_name,summon,epic,clockwork,240,2.9,3.0,16,1.4,skill_repair_field,6,stage_field_01,support|shield|repair,史诗机械辅助，给周围单位修复和护盾
unit_marshkin_tide_scout,unit_marshkin_tide_scout_name,summon,common,marshkin,100,4.4,1.5,11,0.9,skill_tide_dash,2,stage_tutorial_01,fast|melee,沼泽族斥候，快跑近战，适合追击残血
unit_marshkin_bog_shaman,unit_marshkin_bog_shaman_name,summon,rare,marshkin,145,3.1,4.3,17,1.25,skill_mire_totem,4,stage_field_01,ranged|poison|regen,沼泽族稀有远程，毒和回复兼具
unit_marshkin_mud_champion,unit_marshkin_mud_champion_name,summon,epic,marshkin,300,2.8,1.5,29,1.5,skill_mud_wave,6,stage_field_01,control|tank|slow,史诗沼泽前排，泥浪减速控场
unit_serpentfolk_reef_lancer,unit_serpentfolk_reef_lancer_name,summon,common,serpentfolk,115,3.6,3.6,16,1.2,skill_reef_javelin,3,stage_tutorial_01,ranged|pierce,海蛇族低费远程，标枪穿透一条线
unit_serpentfolk_siren_archer,unit_serpentfolk_siren_archer_name,summon,rare,serpentfolk,130,3.7,5.6,19,1.15,skill_siren_focus,4,stage_field_01,ranged|focus|kite,海蛇族稀有射手，远射程并能短时专注增伤
unit_serpentfolk_tide_oracle,unit_serpentfolk_tide_oracle_name,summon,epic,serpentfolk,210,3.2,4.8,20,1.35,skill_tide_oracle_barrier,6,stage_field_01,support|slow|shield,史诗海蛇辅助，护盾和减速结合
unit_pirate_corsair,unit_pirate_corsair_name,summon,common,pirate,125,3.5,1.3,18,1.05,skill_cutlass_combo,3,stage_tutorial_01,melee|high_attack,海盗低费近战，高攻但没有硬控
unit_pirate_bombardier,unit_pirate_bombardier_name,summon,rare,pirate,150,2.9,5.0,28,1.8,skill_powder_keg,5,stage_field_01,ranged|aoe|bomb,海盗炮手，远程范围伤害，适合翻格奖励里的稀有惊喜
unit_pirate_admiral,unit_pirate_admiral_name,summon,legendary,pirate,360,3.0,4.4,38,1.5,skill_admiral_barrage,8,stage_field_01,legendary|aura|ranged,传说海盗，给友军开火节奏并召唤炮击
unit_boarfolk_tusk_runner,unit_boarfolk_tusk_runner_name,summon,common,boarfolk,145,4.1,1.2,16,1.2,skill_tusk_charge,3,stage_tutorial_01,charge|fast|melee,豪猪族低费冲锋，快跑切入
unit_boarfolk_bristle_guard,unit_boarfolk_bristle_guard_name,summon,rare,boarfolk,280,2.5,1.3,22,1.6,skill_bristle_wall,4,stage_field_01,tank|retaliate,豪猪族稀有坦克，受击反刺
unit_boarfolk_quill_captain,unit_boarfolk_quill_captain_name,summon,epic,boarfolk,250,3.1,3.8,24,1.3,skill_quill_volley,6,stage_field_01,ranged|retaliate|aura,史诗豪猪指挥，远程齐射并提高同族反击
unit_undead_bone_minion,unit_undead_bone_minion_name,summon,common,undead,75,3.2,1.1,9,1.0,skill_bone_swarm,2,stage_tutorial_01,swarm|fragile,亡灵低费群体单位，单体弱但数量感强
unit_undead_grave_archer,unit_undead_grave_archer_name,summon,rare,undead,105,2.9,5.2,21,1.4,skill_grave_arrow,4,stage_field_01,ranged|curse,亡灵稀有射手，远程附带诅咒降防
unit_undead_wraith_knight,unit_undead_wraith_knight_name,summon,epic,undead,230,3.6,1.6,31,1.45,skill_wraith_return,6,stage_field_01,revive|melee|elite,史诗亡灵骑士，第一次倒下后短暂返场
