card_id,locale,voice_path,persona_id,voice_name,rate_pct,pitch_pct,gain_db,status,design_notes
penguin,zh_cn,res://assets/audio/voices/skills/zh_cn/penguin.wav,bright_bird,yaoyao,8,3,0,pending_review,水鸟整齐活泼
peacock,zh_cn,res://assets/audio/voices/skills/zh_cn/peacock.wav,regal_legend,yaoyao,-4,-2,0,pending_review,华丽而克制
kangaroo,zh_cn,res://assets/audio/voices/skills/zh_cn/kangaroo.wav,agile_striker,kangkang,8,2,0,pending_review,迅捷有力
seal,zh_cn,res://assets/audio/voices/skills/zh_cn/seal.wav,aquatic_calm,huihui,-2,-2,0,pending_review,水生圆润
swan,zh_cn,res://assets/audio/voices/skills/zh_cn/swan.wav,regal_legend,yaoyao,-7,-4,0,pending_review,优雅仪式感
wolf,zh_cn,res://assets/audio/voices/skills/zh_cn/wolf.wav,fierce_predator,kangkang,-3,-8,0,prototype_generated,猛兽坚定压迫
horse,zh_cn,res://assets/audio/voices/skills/zh_cn/horse.wav,agile_striker,kangkang,5,0,0,pending_review,奔跑推进感
cow,zh_cn,res://assets/audio/voices/skills/zh_cn/cow.wav,sturdy_guard,kangkang,-8,-6,0,pending_review,厚重温和
zebra,zh_cn,res://assets/audio/voices/skills/zh_cn/zebra.wav,agile_striker,yaoyao,9,3,0,pending_review,明快节奏型
camel,zh_cn,,warm_support,kangkang,-7,-5,0,silent_no_player_skill,技能描述为空且按近战显示
dolphin,zh_cn,res://assets/audio/voices/skills/zh_cn/dolphin.wav,aquatic_calm,huihui,2,-1,0,prototype_generated,水生圆润流动
falcon,zh_cn,res://assets/audio/voices/skills/zh_cn/falcon.wav,bright_bird,kangkang,8,1,0,pending_review,猎鸟锐利
boar,zh_cn,res://assets/audio/voices/skills/zh_cn/boar.wav,fierce_predator,kangkang,-2,-7,0,pending_review,猛兽直接冲锋
crane,zh_cn,,bright_bird,yaoyao,-1,2,0,silent_no_player_skill,技能描述为空，仅显示远程分类，不朗读
lynx,zh_cn,,clever_scout,kangkang,4,-2,0,silent_no_player_skill,技能描述为空且按近战显示
bear,zh_cn,res://assets/audio/voices/skills/zh_cn/bear.wav,giant_guardian,kangkang,-13,-12,1,pending_review,大型动物低沉
tiger,zh_cn,res://assets/audio/voices/skills/zh_cn/tiger.wav,fierce_predator,kangkang,-3,-9,1,pending_review,猛兽爆发
lion,zh_cn,res://assets/audio/voices/skills/zh_cn/lion.wav,regal_legend,kangkang,-8,-10,1,pending_review,王者威严
rhino,zh_cn,res://assets/audio/voices/skills/zh_cn/rhino.wav,giant_guardian,kangkang,-11,-10,1,pending_review,重型推进
hippo,zh_cn,res://assets/audio/voices/skills/zh_cn/hippo.wav,giant_guardian,kangkang,-12,-11,1,pending_review,厚重缓慢
giraffe,zh_cn,res://assets/audio/voices/skills/zh_cn/giraffe.wav,warm_support,huihui,-6,-3,0,pending_review,高大温和
gorilla,zh_cn,res://assets/audio/voices/skills/zh_cn/gorilla.wav,primate_trickster,kangkang,-7,-7,1,prototype_generated,灵长类强壮直接
leopard,zh_cn,res://assets/audio/voices/skills/zh_cn/leopard.wav,fierce_predator,kangkang,5,-5,1,pending_review,高速猎手
eagle,zh_cn,res://assets/audio/voices/skills/zh_cn/eagle.wav,regal_legend,yaoyao,-5,-5,1,prototype_generated,超远程传奇仪式感
crocodile,zh_cn,res://assets/audio/voices/skills/zh_cn/crocodile.wav,fierce_predator,kangkang,-8,-10,1,pending_review,低沉危险
elephant,zh_cn,res://assets/audio/voices/skills/zh_cn/elephant.wav,giant_guardian,kangkang,-15,-12,1,prototype_generated,巨型守护者低沉稳定
blue_whale,zh_cn,res://assets/audio/voices/skills/zh_cn/blue_whale.wav,aquatic_calm,huihui,-15,-10,1,pending_review,巨型水生悠长
orca,zh_cn,res://assets/audio/voices/skills/zh_cn/orca.wav,fierce_predator,kangkang,-8,-9,1,pending_review,水生猎手
shark,zh_cn,res://assets/audio/voices/skills/zh_cn/shark.wav,fierce_predator,kangkang,-6,-9,1,pending_review,冷峻攻击型
python,zh_cn,res://assets/audio/voices/skills/zh_cn/python.wav,fierce_predator,kangkang,-10,-10,1,pending_review,缓慢压迫
komodo_dragon,zh_cn,res://assets/audio/voices/skills/zh_cn/komodo_dragon.wav,fierce_predator,kangkang,-9,-11,1,pending_review,毒性危险
polar_bear,zh_cn,res://assets/audio/voices/skills/zh_cn/polar_bear.wav,giant_guardian,kangkang,-14,-12,1,pending_review,极地巨兽
silverback,zh_cn,res://assets/audio/voices/skills/zh_cn/silverback.wav,giant_guardian,kangkang,-13,-11,1,pending_review,银背领袖
golden_eagle,zh_cn,res://assets/audio/voices/skills/zh_cn/golden_eagle.wav,regal_legend,yaoyao,-4,-4,1,pending_review,传奇飞禽锐利
mammoth,zh_cn,res://assets/audio/voices/skills/zh_cn/mammoth.wav,giant_guardian,kangkang,-15,-13,1,pending_review,远古巨兽
